Estação,N__Lab_,X,Y,Folha,Ag (ppm),Al (%),As (ppm),Ba (ppm),Be,Bi (ppm),Ca (%),Cd (ppm),Ce (ppm),Co (ppm),Cr (ppm),Cs (ppm),Cu (ppm),Fe (%),Ga (ppm),Hf (ppm),Hg (ppm),In (ppm),K (%),La (ppm),Li (ppm),LREE (ppm),Mg (%),Mn (ppm),Mo (ppm),Nb (ppm),Ni (ppm),P (ppm),Pb (ppm),Rb (ppm),Sb (ppm),Sc (ppm),Sn (ppm),Sr (ppm),Th (ppm),Ti (%),U (ppm),V (ppm),W (ppm),Y (ppm),Zn (ppm),Zr (ppm)
SQ-0027,CDI 268,338756,7932668,Patos de Minas,0.07,2.83,10.0,112.0,1.0,0.35,0.07,0.1,83.34,21.1,62,2.25,31.5,5.1,12.5,0.1,0.07,0.04,0.1,34.6,7.0,117.94,0.04,1487,1.14,0.72,24.0,599.0,33.6,15.3,0.84,7.3,2.0,7.3,8.4,0.02,1.28,77,0.3,10.0,34,0.5
SQ-0028,CDI 269,339148,7936874,Patos de Minas,0.04,2.48,8.0,70.0,1.1,0.4,0.03,0.19,89.5,11.7,66,2.1,160.0,5.27,11.5,0.14,0.03,0.05,0.14,39.1,7.0,128.6,0.04,648,0.75,0.64,20.7,441.0,106.6,21.1,0.74,7.2,2.0,4.7,8.7,0.02,1.09,68,0.2,10.99,35,4.4
SQ-0029,CDI 270,336332,7935842,Patos de Minas,0.06,1.1,6.0,70.0,1.2,0.3,0.04,0.42,66.62,23.1,30,0.88,58.4,3.79,6.9,0.05,0.07,0.02,0.16,31.3,8.0,97.92,0.03,1562,0.58,0.2,26.3,543.0,126.6,13.3,0.63,3.4,1.1,3.7,5.2,0.01,0.74,37,0.6,9.21,53,0.5
SQ-0030A,CDI 271,332271,7947548,Patos de Minas,0.04,1.95,5.0,873.0,2.7,0.27,0.28,0.4,194.17,60.7,187,2.24,82.3,8.63,13.7,0.69,0.02,0.08,0.27,107.4,14.0,301.57,0.68,1924,0.46,2.55,138.8,2246.0,46.4,36.9,0.71,15.9,2.9,210.1,13.0,0.32,2.17,147,0.2,21.38,86,33.0
SQ-0031,CDI 272,330164,7948238,Patos de Minas,0.06,1.32,7.0,295.0,1.2,0.32,0.13,0.33,95.17,41.1,170,2.06,45.5,5.97,8.5,0.78,0.01,0.03,0.19,50.9,13.0,146.07,0.42,1207,0.55,1.64,78.8,1015.0,39.1,20.7,0.78,7.4,1.7,59.2,8.5,0.21,1.15,86,0.3,11.56,73,31.1
SQ-0032,CDI 273,331455,7937382,Patos de Minas,0.03,1.4,8.0,97.0,0.8,0.33,0.05,0.08,61.6,26.4,33,1.21,22.2,3.68,7.5,0.15,0.01,0.02,0.1,30.9,5.0,92.5,0.03,1507,0.6,0.34,20.9,450.0,23.5,10.0,0.56,3.9,1.9,3.0,6.1,0.01,0.82,44,0.1,9.15,41,0.5
SQ-0033,CDI 274,332189,7937202,Patos de Minas,0.05,2.17,8.0,168.0,1.1,0.34,0.11,0.18,90.12,23.0,45,1.75,32.9,4.82,10.5,0.09,0.05,0.04,0.12,50.1,6.0,140.22,0.08,690,0.71,0.78,32.1,621.0,25.0,14.9,0.65,7.4,1.7,8.6,7.2,0.02,1.09,68,0.2,18.6,56,3.3
SQ-0034,CDI 275,328958,7941348,Patos de Minas,0.04,1.19,6.0,105.0,0.7,0.3,0.05,0.09,57.99,22.7,59,1.6,23.5,3.68,6.2,0.29,0.02,0.03,0.11,30.1,9.0,88.09,0.14,678,0.34,0.6,33.3,485.0,20.5,12.3,0.56,4.3,1.3,14.4,5.9,0.05,0.74,46,0.1,7.5,47,10.3
SQ-0035,CDI 276,334176,7940943,Patos de Minas,0.01,1.59,5.0,96.0,0.8,0.32,0.06,0.15,64.26,16.0,49,1.81,24.6,3.5,7.6,0.29,0.01,0.03,0.11,32.6,7.0,96.86,0.1,507,0.64,0.64,27.8,459.0,22.2,13.4,0.68,5.3,1.5,15.4,6.9,0.03,0.91,51,0.1,8.68,44,11.5
SQ-0036,CDI 277,334562,7940075,Patos de Minas,0.04,1.78,9.0,91.0,0.9,0.32,0.07,0.09,71.54,19.0,42,1.56,26.5,3.9,8.9,0.1,0.01,0.03,0.11,35.4,5.0,106.94,0.04,1013,0.54,0.59,21.3,510.0,23.8,12.8,0.63,5.7,1.9,4.2,6.8,0.01,1.02,54,0.1,10.84,46,1.3
SQ-0037,CDI 278,291788,7937520,Patos de Minas,0.04,0.69,3.0,50.0,0.4,0.11,0.02,0.09,44.39,3.0,12,0.43,11.4,1.69,2.8,0.06,0.01,0.02,0.09,21.9,1.0,66.29,0.01,55,0.27,0.16,7.0,226.0,11.3,9.8,0.24,2.0,1.1,7.9,6.5,0.01,0.69,35,0.3,2.56,16,3.2
SQ-0038,CDI 279,290289,7939846,Patos de Minas,0.04,2.68,9.0,145.0,1.0,0.28,0.02,0.16,146.42,21.1,319,3.06,52.6,7.59,13.4,2.27,0.01,0.09,0.08,50.2,3.0,196.62,0.05,320,0.99,3.47,59.7,492.0,29.4,14.0,0.46,11.8,2.9,20.3,15.4,0.11,2.05,155,2.8,9.78,53,111.0
